Megnevezés;Eredeti elõirányzat
Céltartalékok (PM) (K3040405);1,06E+11
Egyéb kiadások (PM) (K3040406);16883500000
Európai Támogatásokat Auditáló Fõigazgatóság kiadásai (K304040601);1916900000
Kárrendezési célelõirányzat és egyéb kártalanítási feladatok kiadásai (PM) (K304040602);3550100000
A 2007-2013. évek közötti operatív programok visszaforgó pénzeszközeinek felhasználása és kezelése (K304040603);9109400000
Nemzetközi és egyéb kötelezettségek kiadásai (PM) (K304040604);433000000
Polgári Mûvelõdésért Oktatási, Kulturális és Tudományos Alapítvány pénzbeli vagyoni juttatása (K304040605);300000000
Szentháromság téri ingatlanberuházással összefüggõ mûködési kiadások (K304040606);389500000
Európai Területi Együttmûködés (2014-2020) kiadásai (K304040607);490000000
Európai Területi Együttmûködés (2021-2027) kiadásai (K304040608);694600000
Külgazdasági- és külügyminisztérium (KKM) fejezeti kiadásai (K30405);2,42E+11
Külgazdasági és Külügyminisztérium központi igazgatása (K3040501);17208800000
Külképviseletek igazgatása (K3040502);90400300000
Információs Hivatal (IH) kiadásai (K3040503);21960900000
Stipendium Hungaricum és diaszpóra ösztöndíjak támogatása (K3040504);39590500000
Nemzetközi tagdíjak és európai uniós befizetések (K3040505);14436300000
Tõkealaphoz történõ hozzájárulás (K3040506);29810000000
Eximbank Zrt. Tõkeemelése (K3040507);10000000000
Külgazdasági fejlesztési célú szervezeti támogatások kiadásai (K3040508);8926500000
Egyéb kiadások (KKM) (K3040509);9571900000
Külügyminisztérium felügyelete alá tartozó szervezetek és szakmai programok támogatása (K304050901);1663400000
Protokoll kiadások (K304050902);651000000
Csángó-Magyar Együttmûködési Program Támogatása (K304050903);1000000000
Peres ügyek kiadásai (KKM) (K304050904);5000000
Kulturális diplomáciai projektek támogatása (K304050905);1010000000
Rendvédelmi szolgálati juttatás tartalék (K304050906);1200000000
Brexit Alkalmazkodási Tartalék (BAR) (K304050907);4042500000
Miniszterelnökség fejezeti kiadásai (K30406);4,65E+11
Fõvárosi, megyei kormányhivatalok és járási kormányhivatalok kiadásai (K3040601);2,57E+11
Miniszterelnökség igazgatása (K3040602);30623900000
Egyházi célú központi költségvetési hozzájárulások (K3040603);54628200000
Egyházi közfeladatellátáshoz kapcsolódó céltámogatások és karitatív feladatok támogatása (K304060301);14373800000
Egyházi alapintézmény-mûködés, SZJA rendelkezés és kiegészítése (K304060302);19534400000
Átadásra nem került ingatlanok utáni járadék (K304060303);20720000000
Család- és ifjúságügyi célú központi költségvetési hozzájárulások (K3040604);29066800000
Nemzeti Tehetség Program (NTP) kiadásai (K304060401);4397500000
Erzsébet gyermek- és ifjúsági táborok támogatása (K304060402);4375600000
Waclaw Felczak Alap (K304060403);360900000
Gyermek, ifjúsági és családpolitikai programok (K304060404);2894400000
Gyermek és Ifjúsági Alapprogram támogatása (K304060405);80000000
Fiatalok elsõ sikeres nyelvvizsgájának támogatása (K304060406);1983300000
Fiatalok vezetõi engedélyének megszerzésével összefüggõ hozzájárulás (K304060407);1137200000
Nagycsaládosok személygépkocsi-szerzési támogatása (K304060408);12493200000
GYES-en és GYED-en lévõk hallgatói hitelének célzott támogatása (K304060409);440000000
Esélyteremtõ, önkéntes és kríziskezelõ programok, valamint feladatok támogatása (K304060410);504700000
Család-és ifjúságügyi társadalmi, civil és egyéb szervezetek, programok, feladatok támogatása (K304060411);400000000
Nonprofit, társadalmi, civil szervezetek és köztestületek támogatása (K3040605);17232000000
Nemzetiségi célú költségvetési támogatások (K3040606);9521400000
Nemzetiségi szakmai támogatások (K304060601);5749500000
Országos nemzetiségi önkormányzatok támogatása (K304060602);3771900000
Kulturális fejlesztési, örökségvédelmi és egyéb feladatok támogatása (K3040607);13274000000
Nemzeti Együttmûködési Alap (NEA) kiadásai (K3040608);10869200000
Nemzeti Közszolgálati Egyetem (NKE) kiadásai (K3040609);15654500000
Miniszerelnökség alá tartozó intézetek kiadásai (K3040610);5157800000
Nemzetstratégiai Kutatóintézet kiadásai (K304061001);1276800000
Nemzeti Örökség Intézete kiadásai (K304061002);2202800000
Felsõbbfokú Tanulmányok Intézete kiadásai (K304061003);682800000
Kopp Mária Intézet a Népesedésért és a Családokért kiadásai (K304061004);995400000
Egyéb kiadások (Miniszterelnökség) (K3040611);21667900000
Építésügyi, településügyi és területrendezési feladatok kiadásai (K304061101);1016100000
Kulturális örökségvédelmi, világörökségi törvénybõl adódó és nemzeti emlékhelyekkel kapcsolatos feladatok kiadásai (K304061102);292900000
Hungary Helps Programhoz kapcsolódó támogatások (K304061103);3220000000
Határontúli mûemlék-felújítási program kiadásai (K304061104);250000000
Fõvárosi és megyei kormányhivatalok peres ügyei, egyéb feladatai (K304061105);4733700000
Nemzeti Kastélyprogram kiadásai (K304061106);188200000
Fejezeti általános tartalék (Miniszterelnökség) (K304061107);800000000
Nemzetpolitikai tevékenységek és határon túli magyarok támogatása (K304061108);5020600000
Települési és területi nemzetiségi önkormányzatok támogatása (K304061110);2169400000
Miniszterelnökség tulajdonosi joggyakorlásába tartozó társaságok mûködéséhez hozzájárulás (K304061111);3976000000
Nemzeti tervvagyonhoz kapcsolódó kiadások (K304061112);1000000
Miniszterelnöki Kabinetiroda fejezeti kiadásai (K30407);44794600000
Miniszterelnöki Kabinetiroda igazgatása (K3040701);7913000000
Kormányzati kommunikációval és konzultációval kapcsolatos feladatok (K3040702);18000000000
Kiemelt társadalmi kapcsolatok kiadásai (K3040703);11000000000
Nonprofit, társadalmi, civil szervezetek és köztestületek támogatása (K3040704);3536000000
Nemzeti Kommunikációs Hivatal (K3040705);979100000
Nemzeti Koncessziós Iroda (K3040706);957900000
Egyéb kiadások (Kabinetiroda) (K3040707);1205500000
Kormányfõi protokoll kiadások (K304070701);350000000
Közösségépítõ kezdeményezések támogatása (K304070702);800000000
Nemzetközi tagdíjak (Kabinetiroda) (K304070703);55500000
Aktív- és Ökoturisztikai Fejlesztési Központ Nkft. (kiadás) (K3040708);1203100000
Miniszterelnöki Kormányiroda fejezeti kiadásai (K30408);3,12E+11
Rendkívüli kormányzati intézkedések kiadásai (K3040801);1,45E+11
Autópálya rendelkezésre állási díj (kiadás) (K3040802);1,38E+11
Hozzájárulás a Mûvészetek Palotájának (MÜPA) mûködtetéséhez (K3040803);12269200000
Miniszterelnöki Kormányiroda igazgatása (K3040804);4809900000
Egyetemes postai szolgáltató méltánytalan többletterhének megtérítése (K3040805);5413500000
Egyéb kiadások (Kormányiroda) (K3040806);5911500000
Hozzájárulás a sportlétesítmények PPP bérleti díjához (K304080601);62200000
Nemzetközi tagdíjak (K304080602);74400000
Védelmi Beszerzési Ügynökség Zrt. (VBÜ) támogatása (K304080603);2556000000
Kormányzati Ellenõrzési Hivatal (KEHI) kiadásai (K304080604);1218900000
Peres ügyek kiadásai (Kormányiroda) (K304080605);2000000000
Országgyûlés és szerveinek kiadásai (K305);2,33E+11
Közszolgálati média támogatása (K30501);1,11E+11
Országgyûlés Hivatala kiadásai (K30502);44925800000
Nemzeti Választási Iroda (NVI) kiadásai (K30503);15808900000
Adminisztratív kiadások (K3050301);1465400000
Idõközi és nemzetiségi választások lebonyolítása (K3050302);458000000
A választási rendszerek mûködtetése (K3050303);2000000000
2022. évi országgyûlési képviselõválasztás elõkészítése (K3050304);11885500000
Állami Számvevõszék (ÁSZ) kiadásai (K30504);12612200000
Egyéb kiadások (Országgyûlés szervei) (K30505);25423200000
Állambiztonsági Szolgálatok Történeti Levéltára kiadásai (K3050501);1724400000
Országgyûlési Õrség kiadásai (K3050502);4548800000
Az Országgyûlés elnökének közcélú felajánlásai, adományai (K3050503);73000000
Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása (K3050504);80000000
Képviselõ-testület váltásával kapcsolatos kiadások (K3050505);3301100000
Volt köztársasági elnökök közcélú felajánlásai, adományai (K3050506);194700000
Schmitt Pál közcélú felajánlásai, adományai (K305050601);73000000
Sólyom László közcélú felajánlásai, adományai (K305050602);73000000
Áder János közcélú felajánlásai, adományai (K305050603);48700000
Rendvédelmi szolgálati juttatás tartalék (Országgyûlési Õrség miatt) (K3050507);600000000
Közbeszerzési Hatóság kiadásai (K3050508);3288200000
Kampányköltségek kiadásai (K3050509);6000000000
Nemzeti Adatvédelmi és Információszabadság Hatóság (NAIH) kiadásai (K3050510);1555600000
Nemzeti Emlékezet Bizottságának Hivatala kiadásai (K3050511);1324100000
Alapvetõ Jogok Biztosának Hivatala (AJBH) kiadásai (K3050512);2733300000
Magyar Energetikai és Közmû-szabályozási Hivatal (MEKH) kiadásai (K30506);8460400000
Szabályozott Tevékenységek Felügyeleti Hatósága (SZTFH) kiadásai (K30507);6543600000
Pártok és pártalapítványok támogatása (K30508);5779300000
Pártok támogatása (K3050801);2548900000
FIDESZ - Magyar Polgári Szövetség (K305080101);967800000
Magyar Szocialista Párt (MSZP) (K305080102);305500000
Jobbik Magyarországért Mozgalom - Párt (K305080103);510300000
Lehet Más a Politika (LMP) (K305080104);217900000
Kereszténydemokrata Néppárt (KDNP) (K305080105);180400000
Demokratikus Koalíció (DK) (K305080106);207100000
Párbeszéd Magyarországért Párt (K305080107);91000000
Momentum Mozgalom (K305080108);44300000
Magyar Kétfarkú Kutyapárt (K305080109);24600000
Pártalapítványok támogatása (K3050802);3230400000
Szövetség a Polgári Magyarországért Alapítvány (K305080201);1468900000
Táncsics Mihály Alapítvány (K305080202);359300000
Gyarapodó Magyarországért Alapítvány (K305080203);702400000
Ökopolisz Alapítvány (K305080204);212600000
Barankovics István Alapítvány (K305080205);149700000
Megújuló Magyarországért Alapítvány (K305080206);27500000
Új Köztársaságért Alapítvány (K305080207);194500000
Savköpõ Menyét Alapítvány (K305080208);41300000
Indítsuk Be Magyarországot Alapítvány (K305080209);74200000
Gazdasági Versenyhivatal (GVH) kiadásai (K30509);3138600000
Gazdasági Versenyhivatal igazgatása (K3050901);2923400000
OECD ROK (K3050902);169400000
Fejezeti tartalék (K3050903);45800000
Igazságszolgáltatás kiadásai (K306);2,21E+11
Alkotmánybíróság kiadásai (K30601);3028000000
Bíróságok kiadásai (K30602);1,40E+11
Kúria kiadásai (K30603);6482100000
Ügyészség kiadásai (K30604);62679600000
Egyéb kiadások (Igazságszolgáltatás) (K30605);8894900000
Igazságszolgáltatás beruházásai (K3060501);7333000000
Igazságszolgáltatás mûködtetése (K3060502);1561900000
Egyéb állami szervek kiadásai (K307);1,48E+11
Köztársasági Elnöki Hivatal kiadásai (K30701);3574700000
Köztársasági Elnöki Hivatal mûködési kiadásai (K3070101);2512300000
Állami kitüntetések kiadásai (K3070102);513800000
Köztársasági elnök közcélú felajánlásai, adományai (K3070103);73000000
Államfõi Protokoll kiadásai (K3070104);449300000
Fejezeti tartalék (KEH) (K3070105);26300000
Központi Statisztikai Hivatal (KSH) kiadásai (K30703);23634200000
KSH közvetlen kiadásai (K3070301);22059600000
KSH Könyvtár (K3070302);257500000
KSH Népességtudományi Kutató Intézet (K3070303);235000000
Statisztikai Elemzõ Központ Kft. támogatása (K3070304);1082100000
Magyar Tudományos Akadémia (MTA) kiadásai (K30704);28765700000
MTA Titkárság igazgatása, tiszteletdíjak kiadásai (K3070401);9566200000
MTA Könyvtár és Információs Központ kiadásai (K3070402);7798400000
MTA Létesítménygazdálkodási Központ kiadásai (K3070403);1808400000
MTA Jóléti intézmények kiadásai (K3070404);705400000
MTA Területi Akadémiai Bizottságok Titkársága kiadásai (K3070405);308800000
Széchenyi Irodalmi és Mûvészeti Akadémia Titkársága kiadásai (K3070406);20000000
Statisztikai Elemzõ Központ Kft. Támogatása (MTA) (K3070407);80900000
Nemzetközi, EU-s és határon túli feladatok támogatása (MTA) (K3070408);420300000
Szakmai feladatok támogatása (MTA) (K3070409);3955900000
Lendület Program (MTA) kiadásai (K3070410);3566800000
Posztdoktori támogatások (MTA) (K3070411);534600000
Magyar Mûvészeti Akadémia (MMA) kiadásai (K30705);11257300000
MMA Titkársága kiadásai (K3070501);7998600000
Magyar Építészeti Múzeum kiadásai (K3070502);665400000
MMA Kutatóintézet kiadásai (K3070503);273100000
Országos mûvészeti társaságok, szövetségek támogatása (K3070504);105000000
Mûvészeti programok és gazdasági társaságok kulturális feladatainak támogatása (MMA) (K3070505);1864600000
Nemzetközi programok, konferenciák, nemzetközi tagdíjak kiadásai (K3070506);14900000
Pályázati alapok kiadásai (MMA) (K3070507);200000000
MMA mûemlékvédelmi beruházásai (K3070508);30000000
Makovecz Emlékközpont kiadásai (MMA) (K3070509);105700000
Nemzeti Kutatási, Fejlesztési és Innovációs Hivatal (NKFI) kiadásai (K30706);14228500000
NKFI Hivatal kiadásai (K3070601);3902400000
Nemzetközi tagdíjak kiadásai (NKFI) (K3070602);10326100000
Eötvös Lóránd Kutatási Hálozat (ELKH) kiadásai (K30707);66122200000
ELKH Titkársága kiadásai (K3070701);1459000000
ELKH Kutatóközpontok, kutatóintézetek kiadásai (K3070702);53705100000
ELKH Támogatott kutatóhelyek kiadásai (K3070703);4358100000
Kiválósági és szakmai feladatok támogatása (K3070704);6600000000
Állami vagyonnal kapcsolatos kiadások (K308);1,79E+11
Magyar Nemzeti Vagyonkezelõ (MNV) Zrt. kiadásai (K30801);78962000000
Központi költségvetési szervek elhelyezésével kapcsolatos bérleti díjak (MNV) (K3080101);16147000000
Ingatlanok fenntartása és õrzése (MNV) (K3080102);14000000000
Ingatlan beruházások, ingatlan és egyéb eszközök vásárlása (MNV) (K3080103);10000000000
Társaságokkal kapcsolatos kiadások (MNV) (K3080104);13065000000
Az MNV Zrt. tulajdonosi joggyakorlásába tartozó társaságok forrásjuttatásai (K308010401);5165000000
Az MNV Zrt. mûködésének támogatása (K308010402);7900000000
Az állam tulajdonosi felelõsségével kapcsolatos környezetvédelmi feladatok finanszírozása (MNV) (K3080105);10000000000
A vagyongazdálkodás egyéb kiadásai (MNV) (K3080106);15750000000
Az államot korábbi tulajdonosi döntéseihez kapcsolódóan terhelõ egyéb kiadások (K308010601);1400000000
ÁFA elszámolás (K308010602);1000000000
Európai Uniós pályázatokhoz forrás biztosítása (K308010603);4500000000
Egyéb vagyonkezelési kiadások (K308010604);5600000000
Állami örökléssel kapcsolatos kiadások elszámolása (K308010605);3250000000
Nemzeti vagyon kezeléséért felelõs tárca nélküli miniszter kiadásai (K30802);62377100000
Az NHKV Zrt. támogatása (K3080201);50000000000
Az NVTNM tulajdonosi joggyakorlása alá tartozó egyéb társaságok forrásjuttatásai (K3080202);11938300000
Az MFB Zrt. mûködésének támogatása (K3080203);5000000
Egyéb kiadások (K3080204);433800000
Egyéb állami vagyonnal kapcsolatos kiadások (K30803);38000000000
A Nemzeti Útdíjfizetési Szolgáltató Zrt. tulajdonosi joggyakorlásával kapcsolatos kiadások (K3080301);5500000000
Az állami tulajdonú víziközmû-vagyonon végzett értéknövelõ beruházások megtérítése (K3080302);3000000000
A regionális víziközmû társaságok támogatása (K3080303);23000000000
Állami vagyonnal kapcsolatos fejezeti tartalék (K3080304);6500000000
Gazdaság-újraindítási Alap (uniós és hazai fejlesztések) (K4);7,10E+12
Gazdaság-újraindítási Alap uniós fejlesztési kiadásai (K401);3,18E+12
Alapok alapja pénzügyi eszközök (K40101);2,08E+11
Alapok alapja GINOP pénzügyi eszközök (K4010101);1,65E+11
Alapok alapja VEKOP pénzügyi eszközök (K4010102);1095800000
Alapok alapja EFOP pénzügyi eszközök (K4010103);136100000
Alapok alapja GINOP Plusz pénzügyi eszközök (K4010104);42500000000
Kohéziós operatív programok (2014-2020) (K40102);1,04E+12
Gazdaságfejlesztés és Innovációs Operatív Program (GINOP) kiadásai (K4010201);3,27E+11
Versenyképes Közép-Magyarország Operatív Program (VEKOP) kiadásai (K4010202);53775500000
Terület- és Településfejlesztési Operatív Program (TOP) kiadásai (K4010203);88154200000
Integrált Közlekedésfejlesztési Operatív Program (IKOP) kiadásai (K4010204);1,95E+11
Környezeti és Energiahatékonysági Operatív Program (KEHOP) kiadásai (K4010205);2,02E+11
Emberi Erõforrás Fejlesztési Operatív Program (EFOP) kiadásai (K4010206);1,41E+11
Közigazgatás- és Közszolgáltatás Fejlesztési Operatív Program (KÖFOP) kiadásai (K4010207);28612000000
Rászoruló Személyeket Támogató Operatív Program (RSZTOP) kiadásai (K4010208);1940600000
Kohéziós operatív programok (2021-2027) (K40103);1,55E+12
Gazdaságfejlesztés és Innovációs Operatív Program Plusz (GINOP Plusz) kiadásai (K4010301);2,68E+11
Integrált Közlekedésfejlesztés Operatív Program Plusz (IKOP Plusz) kiadásai (K4010302);1,47E+11
Emberi Erõforrás Fejlesztési Operatív Program Plusz (EFOP Plusz) kiadásai (K4010303);79843400000
Terület- és Településfejlesztési Operatív Program Plusz (TOP Plusz) kiadásai (K4010304);3,10E+11
Környezeti és Energiahatékonysági Operatív Program Plusz (KEHOP Plusz) kiadásai (K4010305);1,20E+11
Digitális Megújulás Operatív Program Plusz (DIMOP Plusz) kiadásai (K4010306);1,60E+11
Végrehajtás Operatív Program Plusz (VOP Plusz) kiadásai (K4010307);20000000000
Helyreállítási és Ellenállóképességi Eszköz (RRF) kiadásai (K4010308);4,50E+11
Egyéb uniós fejlesztési kiadások (K40104);3,78E+11
Vidékfejlesztési Program (VP) kiadásai (K4010401);2,30E+11
Európai Hálózatfinanszírozási Eszköz (CEF) projektek kiadásai (K4010402);94922400000
EGT és Norvég Finanszírozási Mechanizmusok (2014-2021) kiadásai (K4010403);25000000000
Svájci-Magyar Együttmûködési Program II. kiadásai (K4010404);7900000000
EU támogatások felhasználásához szükséges technikai segítségnyújtás (K4010405);5500000000
EU fejlesztések - fejezeti általános tartalék (K4010406);5026400000
Magyar Halgazdálkodási Operatív Program (MAHOP) kiadásai (K4010407);4500000000
Közvetlen uniós programok támogatása (K4010408);3000000000
Európai Területi Együttmûködés (2014-2020) kiadásai (K4010409);2517000000
Gazdaság-újraindítási Alap hazai fejlesztési kiadásai (K402);3,92E+12
Gazdaság-újraindítási Foglalkoztatási Alap (K40201);3,72E+11
Foglalkoztatási támogatások (K4020101);21000000000
Szakképzési támogatások (K4020102);34654500000
Passzív kiadások, álláskeresési támogatások (K4020103);1,05E+11
Bérgarancia kifizetések (K4020104);4000000000
Mûködtetési célú kifizetések (K4020105);1200000000
Start-munkaprogram kiadásai (K4020106);1,20E+11
EU-s foglalkoztatási programok elõ- és társfinanszírozása (K4020107);85000000000
Munkahely-megtartási program kiadásai (K4020108);1000000000
A gazdaság újraindítását szolgáló társadalompolitikai célok kiadásai (K40202);1,07E+12
Tizenharmadik havi nyugdíj visszaépítésének támogatása (K4020201);1,60E+11
Nyugdíjprémium céltartalék támogatása (K4020202);68460000000
Egészségügyi béremelés támogatása (K4020203);4,59E+11
Lakástámogatások kiadásai (K4020204);3,82E+11
Közlekedéssel kapcsolatos kiadások (K40203);3,86E+11
Közúti fejlesztések kiadásai (K4020301);2,01E+11
Vasúti fejlesztések kiadásai (K4020302);1,83E+11
Repülõterek fejlesztésének kiadásai (K4020303);1500000000
Egyéb térségi beruházási programok kiadásai (K40204);4,68E+11
Paks II. Zrt. tõkeemelése (K4020401);2,70E+11
Paksi Atomerõmû bõvítéséért felelõs miniszter tulajdonosi joggyakorlása alá tartozó egyéb társaságok forrásjuttatásai (K4020402);2000000000
Magyar Falu Program kiadásai (K4020403);93000000000
Modern Városok Program kiadásai (K4020404);50000000000
Közép-Duna menti térségfejlesztési feladatok kiadásai (K4020405);3742500000
Területfejlesztési feladatok kiadásai (K4020406);25479600000
Térségi fejlesztési feladatok kiadásai (K4020407);23317000000
Magasépítési beruházások kiadásai (K40205);2,17E+11
Egyedi magasépítési beruházások (K4020501);1,44E+11
Programszerû magasépítési beruházások (K4020502);26445400000
A Beruházási Ügynökség mûködésének támogatása (K4020503);6800000000
A Beruházási Ügynökség tevékenységéhez kapcsolódó egyéb kiadások (K4020504);200000000
Beruházási tartalék (K4020505);40000000000
Központi tartalékok (K40206);6,23E+11
Gazdaság-újraindítási programok (K4020601);68000000000
Beruházás Elõkészítési Alap (K4020602);5000000000
Beruházási Alap (K4020603);5,50E+11
Turisztikai kiadások (K40207);1,38E+11
Turisztikai fejlesztési célelõirányzat (K4020701);1,32E+11
Aktív kikapcsolódást szolgáló feladatok, programok (K4020702);4100400000
Róheim-villa rekonstrukciója (K4020703);1270100000
Minisztériumi kezelésû és egyéb hazai fejlesztési kiadások (K40208);6,52E+11
Az állami vagyongazdálkodás a gazdaság újraindítását szolgáló központi kezelésû elõirányzatai (K4020801);52811400000
A Nemzeti Filmintézet Zrt. támogatása (K402080101);17500000000
Liget Budapest projekttel kapcsolatos idei kiadások (K402080102);32173000000
A Magyar Állami Operaház Andrássy úti épületfelújításának idei kiadásai (K402080103);1638400000
Ipari parkok kialakítása, fejlesztése (K402080104);1500000000
Gazdaság újraindítását szolgáló miniszterelnökségi fejezeti kezelésû elõirányzatok (K4020802);84996700000
Egyházi mûködési, program és fejlesztési támogatások (K402080201);30206600000
Kulturális értékmegõrzõ beruházások kiadásai (K402080202);26024500000
Fõvárosi fejlesztések kiadásai (K402080203);14258000000
Sportesemény pályázatok, kiemelt hazai rendezésû sportesemények támogatása (K402080204);10109200000
Nemzetiségi intézmények támogatása beruházásra, felújításra, pályázati önrészre (K402080205);2998800000
Hazai bölcsõde-, családi bölcsõdefejlesztési program nem állami fenntartók részére (K402080206);1399600000
Egyéb hazai gazdaságfejlesztési feladatok kiadásai (K4020803);76766900000
Autó-motorsport támogatása (K402080301);13962100000
Gazdaságfejlesztési programok (K402080302);62804800000
Gazdaság újraindítását szolgáló KKM fejezeti kezelésû elõirányzatok kiadásai (K4020804);1,11E+11
Beruházás ösztönzési célelõirányzat (K402080401);80000000000
Külügyi fejlesztési és kutatási programok (K402080402);18877500000
Kötött segélyhitelezés (K402080403);12000000000
Gazdaság újraindítását szolgáló EMMI fejezeti kezelésû elõirányzatok (K4020805);95165000000
Egészséges Budapest Program (K402080501);15000000000
2019-2027 közötti idegen nyelvi stratégia megvalósítása (K402080502);30000000000
Megváltozott munkaképességû munkavállalók foglalkoztatásának támogatása (K402080503);50165000000
Nemzeti agrártámogatások (K4020806);77275000000
Energia- és klímapolitikai modernizációs rendszer (K4020807);37900000000
Eximbank Zrt. kamatkiegyenlítése (K4020808);31200000000
Egyéb hazai fejlesztési kiadások (K4020809);84648900000
Filmszakmai közvetett támogatások Mozgókép tv. szerinti kiegészítõ finanszírozása (K402080901);27000000000
Nagyvállalati beruházási támogatások (K402080902);25000000000
Állami szakképzõ intézmények Szakképzésrõl szóló tv. szerinti ingyenes képzéseinek kiegészítõ finanszírozása (K402080903);12298900000
Nemzeti Oltóanyaggyár és Nemzeti Koronavírus-Oltóanyaggyár megvalósítása (K402080904);20350000000
Államadósságal kapcsolatos kiadások (K5);1,41E+12
Devizában fennálló adósság és követelések kiadásai (K501);1,44E+11
Nemzetközi devizakötvények kiadásai (K50101);1,06E+11
Nemzetközi devizahitelek kamata (K50102);26310700000
Egyéb nemzetközi devizahitelekkel kapcsolatos kiadások (K50103);11723300000
Egyéb devizahitelek kamata (K5010301);7305900000
Belföldi devizakötvények kiadásai (K5010302);4289100000
Egyéb devizamûveletek kamatelszámolásai (K5010303);128300000
Forintban fennálló adósság és követelések kiadásai (K502);1,23E+12
Hiányfinanszírozás kiadásai (K50201);7,70E+11
Lakossági kötvények kiadásai (K50202);4,00E+11
Egyéb forinthitelekkel kapcsolatos kiadások (K50203);56175200000
Nemzetközi pénzügyi szervezetektõl felvett forinthitelek kamata (K5020301);18325300000
Nem piaci értékesítésû államkötvények kamatelszámolása (K5020302);278200000
Diszkont kincstárjegyek kamatelszámolása (K5020303);5653100000
Lakossági kincstárjegyek kamatelszámolása (K5020304);31348800000
Repóügyletek kamatelszámolásai (K5020305);569800000
Adósság és követeléskezelés egyéb kiadásai (K503);43422400000
Jutalékok és egyéb költségek (K50301);39547300000
Állampapírok értékesítését támogató kommunikációs kiadások (K50302);2400000000
Adósságkezelés költségei (K50303);1475100000
